root,meaning,source_language,notes
misericordia,mercy,Latin,Temple poetic root
caelestis,heavenly/celestial,Latin,Sacred vocabulary
contractus,contract,Latin,Legal-commercial vocabulary
capitalis,capital/wealth,Latin,Economic vocabulary
guardare,to guard/protect,Old French,Protective religious vocabulary
precaria,prayer/request,Latin,Liturgical vocabulary
plorare,to weep,Latin,Religious-poetic vocabulary
lacrima,tear,Latin,Poetic imagery
terror,fear/dread,Latin,Religious-emotional vocabulary
respondere,to answer/respond,Latin,Liturgical/legal vocabulary
